"tipo_causa";"n";"pct"
"Morte materna obstétrica direta";"60";"96,7741935483871"
"Morte materna obstétrica indireta";"2";"3,2258064516129"
"Morte materna obstétrica não especificada";"0";"0,0000000000000"
