"categoria";"SHG";"Não_SHG";"pct_SHG";"pct_Não_SHG";"p_valor"
"Hospital";"58";"161";"93,5";"93,1";"0,552249277557317"
"Outro estabelecimento de saúde";"1";"2";"1,6";"1,2";"0,552249277557317"
"Domicílio";"1";"7";"1,6";"4,0";"0,552249277557317"
"Via pública";"0";"1";"0,0";"0,6";"0,552249277557317"
"Outros";"2";"1";"3,2";"0,6";"0,552249277557317"
"Ignorado";"0";"1";"0,0";"0,6";"0,552249277557317"
