"categoria";"SHG";"Não_SHG";"pct_SHG";"pct_Não_SHG";"p_valor"
"10 a 14 anos";"1";"1";"1,6";"0,6";"0,303732525972285"
"15 a 19 anos";"3";"17";"4,8";"9,8";"0,303732525972285"
"20 a 29 anos";"23";"75";"37,1";"43,4";"0,303732525972285"
"30 a 39 anos";"33";"70";"53,2";"40,5";"0,303732525972285"
"40 a 49 anos";"2";"10";"3,2";"5,8";"0,303732525972285"
