"ano";"obitos_shg";"obitos_totais";"pct_shg";"ic95_inf";"ic95_sup";"nascidos_vivos";"rmm_shg"
"2019";"14";"41";"34,1463414634146";"20,1";"50,6";"47933";"29,2074353785492"
"2020";"13";"40";"32,5000000000000";"18,6";"49,1";"45229";"28,7426208848305"
"2021";"8";"59";"13,5593220338983";"6,0";"25,0";"45978";"17,3996259080430"
"2022";"14";"37";"37,8378378378378";"22,5";"55,2";"42247";"33,1384477004284"
"2023";"5";"23";"21,7391304347826";"7,5";"43,7";"42144";"11,8640850417616"
"2024";"8";"35";"22,8571428571429";"10,4";"40,1";"39697";"20,1526563720180"
