"categoria";"SHG";"Não_SHG";"pct_SHG";"pct_Não_SHG";"p_valor"
"Branca";"9";"23";"14,5";"13,3";"0,497226512515837"
"Preta";"8";"14";"12,9";"8,1";"0,497226512515837"
"Parda";"45";"132";"72,6";"76,3";"0,497226512515837"
"Ignorado";"0";"4";"0,0";"2,3";"0,497226512515837"
